equipamento,endereco,tipo_posto,id_tipo_posto,id_distrito,distrito,id_crs,crs,data_hora,indice_fila,status_fila,coronavac,astrazeneca,pfizer,intercambialidade,janssen,influenza,pfizer_ped,corona_ped,id_tb_unidades
UBS JARDIM RINCÃO,"R. ARROIO DA PALMA, 67 - JARDIM RINCÃO - CEP: 02991-050 - Tel: 3941-4763",POSTO FIXO,1,45,Jaraguá,3,NORTE,2022-08-22 16:04:01.377,2,FILA PEQUENA,1,1,1,0,1,1,1,1,232
UBS UNIÃO DAS VILAS DE TAIPAS,"AV. ELISIO TEIXEIRA LEITE, 7703 - JARAGUÁ - CEP: 02810-000 - Tel: 3972-1355/ 3971-2432",POSTO FIXO,1,45,Jaraguá,3,NORTE,2022-08-22 15:56:59.553,2,FILA PEQUENA,1,1,1,0,1,1,1,1,234
AMA/UBS INTEGRADA VILA BARBOSA,"AV. MANDAQUI, 197 - LIMÃO - CEP: 02550-000 - Tel: 3858-1822/ 3966-1302",POSTO FIXO,1,46,Limão,3,NORTE,2022-08-22 16:29:25.993,2,FILA PEQUENA,1,1,1,0,1,1,1,1,235
UBS VILA ESPANHOLA,"AV. JOÃO DOS SANTOS ABREU, 650 - VL ESPANHOLA - CEP: 02566-010 - Tel: 2263-1569",POSTO FIXO,1,46,Limão,3,NORTE,2022-08-22 17:02:14.030,2,FILA PEQUENA,1,1,1,0,1,1,1,1,237
UBS VILA CAIÚBA,"R. PRESIDENTE VARGAS, 540 - PERUS - CEP: 05207-000 - Tel: 3835-2063",POSTO FIXO,1,48,Perus,3,NORTE,2022-08-22 16:55:42.193,2,FILA PEQUENA,1,1,1,1,1,1,1,1,244
UBS JOAQUIM ANTONIO EIRADO,"AV. BRAZ LEME, 2945 - SANTANA - CEP: 02022-011 - Tel: 2973- 0733/ 2978-7992",POSTO FIXO,1,50,Santana,3,NORTE,2022-08-22 15:53:41.300,2,FILA PEQUENA,1,1,1,0,1,1,1,1,254
UBS PARQUE NOVO MUNDO II,"R. SOLDADO ANTONIO MATIAS DE CAMARGO, 87 - PQ NOVO MUNDO - CEP: 02188-050 - Tel: 3883-7808/ 3883-7802/ 2954-4580 ",POSTO FIXO,1,55,Vila Maria,3,NORTE,2022-08-22 15:59:19.850,2,FILA PEQUENA,1,1,1,0,1,1,1,1,275
AMA/UBS INTEGRADA JARDIM BRASIL,"R. FRANCISCO PEIXOTO BEZERRA, 400 - JD BRASIL - CEP: 02222-010 - Tel: 2201-4101/ 3471-8851/ 3475-8875/ 2939-7808",POSTO FIXO,1,56,Vila Medeiros,3,NORTE,2022-08-22 15:50:22.453,2,FILA PEQUENA,1,1,1,0,1,1,1,1,277
UBS CAXINGUI - NANCI ABRANCHES,"R. LADISLAU ROMAN, 410 - CAXINGUI - CEP: 05515-030 - Tel: 3721-6406/ 3722-4686",POSTO FIXO,1,58,Butantã,4,OESTE,2022-08-22 16:53:45.590,2,FILA PEQUENA,1,1,1,1,0,1,1,1,284
UBS VILA ANASTÁCIO,"R. CONSELHEIRO OLEGARIO, 239 - VILA ANASTACIO - CEP: 05093040 - Tel: 2774-1243/ 2774-1547",POSTO FIXO,1,62,Lapa,4,OESTE,2022-08-22 15:59:24.427,2,FILA PEQUENA,1,1,1,0,1,1,1,1,291
UBS RIO PEQUENO - DR. PAULO DE BARROS FRANÇA,"R. PADRE FRANCISCO LIBERMANN, 318 - RIO PEQUENO - CEP: 05353-160 - Tel: 3768-9460/ 3714-8764",POSTO FIXO,1,67,Rio Pequeno,4,OESTE,2022-08-22 11:50:19.563,2,FILA PEQUENA,,1,1,0,1,1,1,1,304
UBS JARDIM MITSUTANI,"R. FREI XISTO TEUBER, 50 - JD MITSUTANI - CEP: 05791-080 - Tel: 5842-9292",POSTO FIXO,1,72,Campo Limpo,5,SUL,2022-08-22 16:58:07.317,2,FILA PEQUENA,1,1,1,0,0,1,1,1,318
UBS JARDIM ELEDY,"R. SEBASTIAO ADVINCULA CUNHA, 470 - JD ELEDY - CEP: 05856-140 - Tel: 5823-4937/ 5821-4302",POSTO FIXO,1,73,Capão Redondo,5,SUL,2022-08-22 18:09:10.077,2,FILA PEQUENA,1,1,1,0,1,1,1,1,324
UBS JARDIM MAGDALENA,"R. VITORIANO PALHARES, 221 - JD MAGDALENA - CEP: 05890- 320 - Tel: 5824-6020/ 5824-5347",POSTO FIXO,1,73,Capão Redondo,5,SUL,2022-08-22 17:00:01.030,2,FILA PEQUENA,1,1,1,0,1,1,1,1,328
UBS CIDADE JULIA,"R. PASCOAL GRIECO, 366 - CIDADE JULIA - CEP: 04421-150 - Tel: 5623-6669/ 5623-9993",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 16:00:35.247,2,FILA PEQUENA,1,,1,0,1,1,1,1,339
UBS JARDIM MIRIAM II,"AV. CUPECÊ, 5185 - JARDIM PRUDÊNCIA - CEP: 04365-001 - Tel: 5622-6998/ 5623-6959",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 15:50:33.830,2,FILA PEQUENA,1,1,1,0,1,1,1,1,340
UBS SÃO JORGE - CIDADE ADEMAR,"AV. EDUARDO PEREIRA RAMOS, 810 - JD DOMIITLA - CEP: 04432-000 - Tel: 5611-3527/ 5611-6933",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 12:14:30.360,2,FILA PEQUENA,1,1,1,0,1,1,1,1,344
UBS JARDIM ORION/GUANHEMBU,"R. FERNANDO AMARO MIRANDA, 51 - JARDIM COLONIAL - CEP: 04821-100 - Tel: 2362-2343/ 2362-2360",POSTO FIXO,1,75,Cidade Dutra,5,SUL,2022-08-22 16:19:37.327,2,FILA PEQUENA,1,1,1,0,1,1,1,1,351
UBS JARDIM REPÚBLICA,"AV. GONÇALO DE PAIVA GOMES, 285 - JD REPUBLICA - CEP: 04812-090 - Tel: 5661-4470/ 5661-5654",POSTO FIXO,1,75,Cidade Dutra,5,SUL,2022-08-22 15:50:33.390,2,FILA PEQUENA,1,1,1,0,1,1,1,1,352
AMA/UBS INTEGRADA JARDIM CASTRO ALVES - DRA MARIA CRISTINA F,"AV. JOÃO PAULO BARRETO, 131 - JD CASTRO ALVES - CEP: 04842-150 - Tel: 5971-2157/ 5928-1714",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 16:01:06.970,2,FILA PEQUENA,1,1,,1,1,1,1,1,358
UBS CANTINHO DO CÉU,"R. DOS ACORDES, 200 - CANTINHO DO CEU - CEP: 04849-558 - Tel: 5932-7805/ 5931-0209",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 08:02:40.017,2,FILA PEQUENA,1,1,1,0,1,1,1,1,362
UBS JARDIM NOVO HORIZONTE,"R. CARUANENSE, 186 - JARDIM NOVO HORIZONTE - CEP: 04857-300 - Tel: 5938-2208",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 15:54:01.303,2,FILA PEQUENA,1,1,1,0,1,1,1,1,369
UBS VARGINHA,"R. HENRIQUE MUZZIO, 383 - JD VARGINHA - CEP: 04857-040 - Tel: 5526-3988/ 5527-2709",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 08:59:18.847,2,FILA PEQUENA,1,1,1,0,1,1,1,1,373
AMA/UBS INTEGRADA PARQUE NOVO SANTO AMARO,"R. PORTA DO PRADO, 18 - PQ NOVO STO AMARO - CEP: 05874- 130 - Tel: 5831-1448",POSTO FIXO,1,80,Jardim Ângela,5,SUL,2022-08-22 18:00:21.210,2,FILA PEQUENA,1,1,1,0,1,1,1,1,391
UBS JARDIM CAIÇARA,"R. SERAFIM ALVARES, 46 - JD CAIÇARA - CEP: 05871-370 - Tel: 5833-4375/ 5833-4375",POSTO FIXO,1,80,Jardim Ângela,5,SUL,2022-08-22 18:10:58.193,2,FILA PEQUENA,1,1,1,,1,1,1,1,397
UBS JARDIM COIMBRA,"ESTRADA DO MBOI MIRIM, 3301 - JD COIMBRA - CEP: 04905- 023 - Tel: 5898-5454/ 5892-2327",POSTO FIXO,1,80,Jardim Ângela,5,SUL,2022-08-22 18:01:17.623,2,FILA PEQUENA,1,1,1,0,1,1,1,1,398
UBS JARDIM GUARUJÁ,"R. JOÃO DE ALMADA, 25 - JD GUARUJA - CEP: 05875-300 - Tel: 5873-5089/ 5874-4499",POSTO FIXO,1,80,Jardim Ângela,5,SUL,2022-08-22 18:00:50.853,2,FILA PEQUENA,1,1,1,0,1,1,1,1,399
UBS CHÁCARA SANTANA,"R. BALTAZAR DE SA, 383 - CHÁCARA SANTANA - CEP: 05831- 030 - Tel: 5514-6448/ 5891-2843",POSTO FIXO,1,81,Jardim São Luis,5,SUL,2022-08-22 17:50:45.810,2,FILA PEQUENA,1,1,1,0,1,1,1,1,413
UBS NOVO CAMINHO,"R. ANTONIO DA MATA JUNIOR, 943 - JD SÃO LUIZ - CEP: 05812- 030 - Tel: 5851-9026",POSTO FIXO,1,81,Jardim São Luis,5,SUL,2022-08-22 18:00:04.193,2,FILA PEQUENA,1,1,1,0,,1,1,1,417
UBS NOVA AMÉRICA,"R. EDUARDO COLLIER FILHO, 14 - CIDADE NOVA AMERICA - CEP: 04895-020 - Tel: 5977-3507",POSTO FIXO,1,84,Parelheiros,5,SUL,2022-08-22 15:19:53.620,2,FILA PEQUENA,1,1,1,0,1,1,1,1,434
UBS JARDIM NOVO PANTANAL - PEDREIRA,"AV. PROF. CARDOZO DE MELLO NETO, 674 - JARDIM SANTA TEREZINHA - CEP: 04474-180 - Tel: 5672-7092/ 5672-7244",POSTO FIXO,1,85,Pedreira,5,SUL,2022-08-22 16:00:27.887,2,FILA PEQUENA,1,1,1,0,1,1,1,1,443
UBS VILA APARECIDA,"AV. BATISTA MACIEL, 430 - ELDORADO - CEP: 04459-110 - Tel: 5612-9644/ 5612-2850",POSTO FIXO,1,85,Pedreira,5,SUL,2022-08-22 16:00:23.463,2,FILA PEQUENA,1,1,1,0,1,1,1,1,448
UBS VILA GUACURI-CICERO SERGIO CAVALCANTE,"R. VALENTINO FIORAVANTE, 416 - JD RUBILENE - CEP: 04475- 380 - Tel: 5674-0921/ 5673-0888",POSTO FIXO,1,85,Pedreira,5,SUL,2022-08-22 16:03:04.777,2,FILA PEQUENA,1,1,1,0,1,1,1,1,449
UBS CHÁCARA SANTO ANTONIO - DR. MARCILIO DE ARRUDA PENTEADO FILHO,"R. ALEXANDRE DUMAS, 719 - CHÁCARA SANTO ANTONIO - CEP: 04717-000 - Tel: 5181-7894/ 5183-6139",POSTO FIXO,1,87,Santo Amaro,5,SUL,2022-08-22 15:50:24.797,2,FILA PEQUENA,1,1,1,0,1,,1,1,459
UBS SANTO AMARO – DR. SÉRGIO VILLAÇA BRAGA,"Rua Conde de Itu, 359 - Santo Amaro, São Paulo - SP",POSTO FIXO,1,87,Santo Amaro,5,SUL,2022-08-22 16:07:58.023,2,FILA PEQUENA,1,1,1,0,1,1,1,1,460
UBS PARAISOPOLIS,"R. MELCHIOR GIOLA, 80 - JD PARAISOPOLIS - CEP: 05664-000 - Tel: 3744-5223/ 3744-5822",POSTO FIXO,1,90,Vila Andrade,5,SUL,2022-08-22 18:00:52.603,2,FILA PEQUENA,1,1,1,0,1,1,1,1,465
UBS NOSSA SENHORA DO BRASIL - ARMANDO DARIENZO,"R. ALMIRANTE MARQUES LEÃO, 684 - BELA VISTA - CEP: 01330- 010 - Tel: 3284-4602/ 3541-3705",POSTO FIXO,1,1,Bela Vista,1,CENTRO,2022-08-22 18:50:47.693,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,2
CENTRO DE SAÚDE ESCOLA BARRA FUNDA – CSEBF,"Endereço: Avenida Dr. Abraão Ribeiro, 283 Bom retiro São Paulo – SP",POSTO FIXO,1,4,Santa Cecília,1,CENTRO,2022-08-22 16:50:59.980,5,NÃO FUNCIONANDO,0,0,0,0,0,0,,0,499
PARQUE BUENOS AIRES,"Av. Angélica, 1500",PARQUES,5,4,Santa Cecília,1,CENTRO,2022-08-22 08:55:11.430,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,1602
SAE DST/AIDS CAMPOS ELÍSEOS,"Alameda Cleveland, 374",POSTO FIXO,1,4,Santa Cecília,1,CENTRO,2022-08-22 17:11:57.553,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,544
UBS REPÚBLICA - FERNANDA SANTE LIMEIRA,"PRAÇA PATRIARCA, 100 - CENTRO - CEP: 01002010 - Tel: 3242- 3756/ 3241-5515",POSTO FIXO,1,5,Sé,1,CENTRO,2022-08-22 18:50:36.287,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,7
AMA/UBS INTEGRADA AGUA RASA,"R. SERRA DE JAIRE, 1480 - ÁGUA RASA - CEP: 03175-001 - Tel: 2605-2156/ 2605-5307",POSTO FIXO,1,6,Água Rasa,2,LESTE,2022-08-22 18:51:09.040,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,9
AMA/UBS INTEGRADA VILA ORATÓRIO - DR. TITO PEDRO MASCELANI,"R. JOÃO FIALHO DE CARVALHO, 35 - VL DIVA - CEP: 03345-010 - Tel: 2301-2979/ 2911-5318",POSTO FIXO,1,6,Água Rasa,2,LESTE,2022-08-22 18:48:16.320,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,10
UBS VILA BERTIOGA - DOMINGOS DELASCIO,"R. FAROL PAULISTANO, 410 - ALTO DA MOOCA - CEP: 03192- 060 - Tel: 2965-1066/ 2021-7210",POSTO FIXO,1,6,Água Rasa,2,LESTE,2022-08-22 18:50:29.130,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,11
AMA/UBS INTEGRADA VILA ANTONIETA,"R. CORONEL JOÃO DE OLIVEIRA MELO, 440 - VL ANTONIETA - CEP: 03474-020 - Tel: 2725-3997/ 2253-1852",POSTO FIXO,1,7,Aricanduva,2,LESTE,2022-08-22 18:51:41.450,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,12
UBS JARDIM IVA,"R. MIGUEL BASTOS SOARES, 55 - JD IVA - CEP: 03910-000 - Tel: 2211-0884/ 2911-1006",POSTO FIXO,1,7,Aricanduva,2,LESTE,2022-08-22 18:43:44.747,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,13
UBS VILA NOVA YORK,"R. DR EDGARD MAGALHÃES NORONHA, 200 - VL NOVA YORK - CEP: 03480-000 - Tel: 2721-2707",POSTO FIXO,1,7,Aricanduva,2,LESTE,2022-08-22 18:49:30.090,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,14
AMA/UBS INTEGRADA PADRE MANOEL DA NÓBREGA,"AV. PADRE FRANCISCO DE TOLEDO, 545 - ARTHUR ALVIM - CEP: 03590-120 - Tel: 2741-7296/ 2748-6082",POSTO FIXO,1,8,Artur Alvim,2,LESTE,2022-08-22 18:44:11.153,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,16
UBS ANTONIO PIRES F VILLA LOBO,"R. COELHO DE CASTRO, 95 - VL NHOCUNÉ - CEP: 03560-030 - Tel: 2749-3521",POSTO FIXO,1,8,Artur Alvim,2,LESTE,2022-08-22 18:52:05.090,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,18
UBS PADRE JOSE DE ANCHIETA,"AV. SILVIO TORRES, 313 - ARTHUR ALVIM - CEP: 03589-010 - Tel: 2742-1367",POSTO FIXO,1,8,Artur Alvim,2,LESTE,2022-08-22 18:45:35.430,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,20
UBS PARQUE ARTHUR ALVIM,"R. HENRIQUE JACOBS, 269 - ARTHUR ALVIM - CEP: 03566-010 - Tel: 2749-4235/ 2958-4235",POSTO FIXO,1,8,Artur Alvim,2,LESTE,2022-08-22 18:48:52.243,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,21
UBS BELENZINHO - MARCUS WOLOSKER,"AV. CELSO GARCIA, 1749 - BELENZINHO - CEP: 03015-000 - Tel: 2292-5687/ 2694-2697",POSTO FIXO,1,9,Belém,2,LESTE,2022-08-22 18:45:17.083,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,22
UBS BRAS - DR. MANOEL SALDIVA NETO,"R. JOAQUIM NABUCO, 165 - Tel: 2692-0788/ 2292- 5453",POSTO FIXO,1,10,Brás,2,LESTE,2022-08-22 18:46:51.747,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,23
AMA/UBS INTEGRADA CANGAÍBA - DR. CARLOS GENTILE DE MELLO,"AV. CANGAIBA, 3722 - CANGAÍBA - CEP: 03712-001 - Tel: 2621- 6523/ 2621-9507",POSTO FIXO,1,11,Cangaíba,2,LESTE,2022-08-22 18:55:15.937,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,24
AMA/UBS INTEGRADA CHACARA CRUZEIRO DO SUL - ZELIA L M DORO,"R. MERCEDES LOPES, 989 - CHÁCARA CRUZEIRO DO SUL - CEP: 03614-000 - Tel: 2647-0031/ 2642-2622",POSTO FIXO,1,11,Cangaíba,2,LESTE,2022-08-22 18:45:08.580,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,25
AMA/UBS INTEGRADA VILA SILVIA,"R. BELEM DOS SANTOS (ESQUINA COM R. LAURO DE FREITAS), 222 - VILA SILVIA - CEP: 03821-170 - Tel: 2545-6838/ 2545-8181",POSTO FIXO,1,11,Cangaíba,2,LESTE,2022-08-22 18:45:46.320,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,26
UBS ENGENHEIRO GOULART - DR. JOSÉ PIRES,"R. AUGUSTO CORREIA LEITE, 538 - ENG. GOULART - CEP: 03726-100 - Tel: 2621-7402/ 2621-7042",POSTO FIXO,1,11,Cangaíba,2,LESTE,2022-08-22 18:45:06.130,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,27
UBS JARDIM SÃO FRANCISCO,"R. JURITI PIRANGA, 195 - CANGAÍBA - CEP: 03718-020 - Tel: 2957-2808/ 2681-0250",POSTO FIXO,1,11,Cangaíba,2,LESTE,2022-08-22 18:52:49.377,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,28
AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO,"R. DR JACI BARBOSA, 280 - VL CARRÃO - CEP: 03447-000 - Tel: 2785-4728/ 2036-3853",POSTO FIXO,1,12,Carrão,2,LESTE,2022-08-22 18:46:02.337,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,29
UBS VILA NOVA MANCHESTER - DR. ARLINDO GENNARI,"PRAÇA HAROLDO DALTRO, 461 - VL NOVA MANCHESTER - CEP: 03444-090 - Tel: 2295-4163/ 2296-6843",POSTO FIXO,1,12,Carrão,2,LESTE,2022-08-22 18:49:00.870,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,30
AMA/UBS INTEGRADA JARDIM BRASILIA,"AV. OSVALDO VALLE CORDEIRO, 245 - JD BRASILIA - CEP: 03584-000 - Tel: 2741-6938/ 2743-9476",POSTO FIXO,1,13,Cidade Líder,2,LESTE,2022-08-22 18:50:20.770,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,31
SAE DST/AIDS CIDADE LIDER II,"R. MEDIO IGUACU, 86 - CIDADE LIDER - CEP 08285130 - Tel: 27480255 / 27481139",POSTO FIXO,1,13,Cidade Líder,2,LESTE,2022-08-22 17:09:16.350,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,497
UBS CIDADE LIDER,"AV. DR FRANCISCO MUNHOZ FILHO, 379 - CIDADE LIDER - CEP: 08280-000 - Tel: 2741-1563/ 2017-2743",POSTO FIXO,1,13,Cidade Líder,2,LESTE,2022-08-22 18:50:33.050,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,33
UBS BARRO BRANCO,"R. EDUARDO REUTER, 678 - COHAB BARRO BRANCO II - CEP: 08473-533 - Tel: 4780-5068/ 2964-8826",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:02:02.660,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,38
UBS CARLOS GENTILE DE MELO,"AV. DOS TÊXTEIS, 3765 - CIDADE TIRADENTES - CEP: 08490- 600 - Tel: 4780-5108/ 2964-8081",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:00:06.617,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,39
UBS FERROVIÁRIOS,"R. GONÇALVES NINA, 58 - CIDADE TIRADENTES - CEP: 08470- 610 - Tel: 2285-6477/ 4780-5063",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:53:37.473,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,43
UBS JARDIM VITÓRIA,"R. LAGEDO, 123 - CIDADE TIRADENTES - CEP: 08490-000 - Tel: 4780-5061/ 2964-2685",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:01:25.577,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,46
UBS NASCER DO SOL,"R. SENADOR NELSON CARNEIRO, 617 - CIDADE TIRADENTES - CEP: 08485300 - Tel: 4810-7700",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:55:19.313,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,47
UBS PREFEITO PRESTES MAIA,"R. INACIO PINTO LIMA, 35 - CIDADE TIRADENTES - CEP: 08490- 020 - Tel: 2555-5587/ 4780-5064",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:53:26.363,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,48
UBS PROFETA JEREMIAS,"R. LUIS BORDESE, 63 - CIDADE TIRADENTES - CEP: 08471-710 - Tel: 4780-5067/ 2558-3866",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 18:53:19.723,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,49
AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU,"AV. OLAVO EGÍDIO DE SOUZA ARANHA, 704 - VL CISPER - CEP: 03822-000 - Tel: 2943-9991/ 2541-4685",POSTO FIXO,1,15,Ermelino Matarazzo,2,LESTE,2022-08-22 18:44:13.967,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,50
UBS ERMELINO MATARAZZO,"R. ANTONIO DE FREITAS TOLEDO, 170 - ERMELINO MATARAZZO - CEP: 03809-060 - Tel: 2545-8235/ 2542-0945",POSTO FIXO,1,15,Ermelino Matarazzo,2,LESTE,2022-08-22 18:45:22.050,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,51
UBS JARDIM KERALUX,"R. LUCAS GONCALVES, 13 - JD KERALUX - CEP: 03828-000 - Tel: 2546-6177/ 2542-0837",POSTO FIXO,1,15,Ermelino Matarazzo,2,LESTE,2022-08-22 17:57:39.680,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,52
UBS VILA CISPER,"R. CACULÉ, 79 - VL CISPER - CEP: 03817-220 - Tel: 2546-5100/ 2542-0154",POSTO FIXO,1,15,Ermelino Matarazzo,2,LESTE,2022-08-22 18:50:48.317,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,54
AE SAO CARLOS,R MACABU FONE: (11)2016-9559,POSTO FIXO,1,16,Guaianases,2,LESTE,2022-08-22 18:49:32.170,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,492
UBS GUAIANASES II,"R. COMANDANTE CARLOS RUHL, 189 - GUAIANASES - CEP: 08410-120 - Tel: 4780-5095/ 2554-4064",POSTO FIXO,1,16,Guaianases,2,LESTE,2022-08-22 18:53:37.320,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,56
UBS JARDIM SOARES,"R. FELICIANO DE MENDONÇA, 496 - JD SOARES - CEP: 08460- 365 - Tel: 4780-5035/ 2557-7022",POSTO FIXO,1,16,Guaianases,2,LESTE,2022-08-22 18:40:28.867,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,57
UBS PREFEITO CELSO AUGUSTO DANIEL,"R. JORGE MARACCINI PONFILIO, 210 - CJ. HAB JUSCELINO KUBITSCHEK - CEP: 08465-050 - Tel: 4780-5034/ 2556-7997",POSTO FIXO,1,16,Guaianases,2,LESTE,2022-08-22 18:55:31.127,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,58
UBS VILA COSMOPOLITA,"R. ALDEIA MARIA, 258 - GUAIANASES - CEP: 08021-070 - Tel: 4780-5033/ 2555-8583",POSTO FIXO,1,16,Guaianases,2,LESTE,2022-08-22 18:50:26.753,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,59
UBS JARDIM DA CONQUISTA II,"TRAVESSA SOMOS TODOS IGUAIS, 915 - JD CONQUISTA - CEP: 08343-000 - Tel: 2253-9547/ 2735-3079",POSTO FIXO,1,17,Iguatemi,2,LESTE,2022-08-22 18:55:20.767,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,63
AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS,"R. JOSÉ DA CRUZ CAMARGO, 174 - ITAIM PAULISTA - CEP: 08122-100 - Tel: 2572-0367/ 2963-2415",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:53:36.287,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,67
UBS CIDADE KEMEL,"AV. KEMEL ADDAS, 1031 - CIDADE KEMEL - CEP: 08131-220 - Tel: 2963-2346/ 2569-0515",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:51:49.120,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,68
UBS ENCOSTA NORTE,"R. RENATA AGONDI, 238 - ITAIM PAULISTA - CEP: 08131320 - Tel: 4780-5113/ 4780-2937",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:50:59.490,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,70
UBS ITAIM PAULISTA - DR. JÚLIO DE GOUVEIA,"PRAÇA MAJOR JOSE LEVY SOBRINHO, 139 - ITAIM PAULISTA - CEP: 08110-460 - Tel: 2561-9443/ 2572-0672",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:46:12.633,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,71
UBS JARDIM CAMARGO NOVO,"R. GENERAL PEREIRA DE BERREDO, 275 - JD CAMARGO NOVO - CEP: 08121-260 - Tel: 2567-5959/ 2963-2610",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:50:09.033,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,72
UBS JARDIM INDAIÁ,"R. ANTONIO LEME DA GUERRA, 182 - ITAIM PAULISTA - CEP: 08141-130 - Tel: 2561-7904/ 2963-3711",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:50:39.583,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,73
UBS JARDIM NÉLIA,"R. ITAJUIBE, 1910 - ITAIM PAULISTA - CEP: 08142-000 - Tel: 4780- 5074/ 2963-3802",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 18:46:39.810,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,74
AMA/UBS INTEGRADA AGUIA DE HAIA,"R. TANTAS PALAVRAS, 59 - COHAB ÁGUIA DE HAIA - CEP: 08223-510 - Tel: 4780-5107/ 3756-3264",POSTO FIXO,1,19,Itaquera,2,LESTE,2022-08-22 18:50:45.507,5,NÃO FUNCIONANDO,0,0,0,0,0,0,0,0,75
